upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
OSM,NA,cytokine,NA,-1.715,1.76e-9,"ACKR2,ACTA2,ADAMTS1,ADAMTS5,ARHGEF2,CEBPD,CH25H,COL1A1,CPM,CXCL12,EPHB2,EPHB6,GLUL,GRIN2A,HMOX1,HSPA2,HSPB3,LIF,MAOA,MMP10,MT1X,MT2A,NAMPT,NEDD4L,NUAK1,PDLIM5,PDPN,PLA2G4A,PRDM1,SERPINA3,SOCS1,ST8SIA1,STX11,TM4SF1,TNFRSF11B,TUBA1A,TYMP,VCAM1,VEGFA,XDH",236 (18)
ERK,NA,group,NA,-0.1,2.08e-9,"CCR1,CEBPD,CFLAR,COL1A1,DIO2,DUSP1,EGR2,FABP4,FOXO1,FOXO3,FST,GDF15,HMOX1,IL12A,KLF5,LIF,MAFF,PDK4,PRDM1,SORT1,SOX4,THBS1,TUBA1A,TYMP,VEGFA",239 (19)
miR-29b-3p (and other miRNAs w/seed AGCACCA),NA,mature microrna,NA,-1.867,2.72e-9,"ABHD5,ACKR4,ADAM12,ADAMTS5,AMOT,ARMC8,BDH1,BDKRB2,C20orf96,C9orf3,CIDEC,COL11A1,COL1A1,COL4A1,COL4A3,COL4A4,COL7A1,CORO6,CPM,CREB5,CYTH3,DAAM2,DIO2,E2F7,EPHB3,FGD4,FNDC5,FOXO3,FZD5,GPR37,GXYLT2,HAPLN3,HIF3A,KIAA1755,KLHL42,LAMA2,LEP,LIF,MEST,MEX3B,MORF4L2,MYO16,NAV3,NCKAP5,NCOA3,NEDD9,NEGR1,NID1,OSBPL3,PDK4,PDPN,PER1,PER3,PIK3R1,PIK3R3,PKNOX2,PLPPR4,POU2F2,PTX3,RAB11FIP1,REV3L,RNF144B,ROBO1,RTKN2,SAMD4A,SCN7A,SLC7A6,SMTNL2,TGFB2,TMEM26,TRPC6,TSC22D3,ULK2,VASH2,VEGFA,WARS,XDH,ZHX3",NA
F2,NA,peptidase,NA,0.566,2.98e-9,"ACTA2,CCL8,CFLAR,CITED4,COL1A1,COL4A1,CTPS1,CYR61,DUSP1,E2F7,FAM46A,HMOX1,KLF6,LBH,MMP10,MTSS1,NR4A3,PLA2G4A,PRKCE,RHOB,RHOJ,SAMD4A,TGFB2,THBS1,VCAM1,VEGFA",222 (18)
prostaglandin E2,NA,chemical - endogenous mammalian,NA,0.489,3.46e-9,"ACTA2,ADAMTS1,AQP3,ATF3,BRCA1,CCL8,CCR1,CEBPD,COL1A1,CXCL12,DUSP1,EGR2,FOXO1,FST,FSTL3,HMOX1,IL12A,IL4I1,NEDD9,NFIL3,NR4A1,PLA2G4A,PRDM1,THBS1,TNFAIP6,TNFRSF11B,TSC22D3,VEGFA",227 (16)
glucocorticoid,NA,chemical drug,Activated,2.917,3.82e-9,"ALDH3A1,CD163,CEBPD,COL1A1,CYP24A1,DBP,DUSP1,GCH1,GLUL,GPX3,HMOX1,INPP5D,LEP,MAOA,MT2A,NGF,PER1,PER3,STC1,STX11,TGFB2,TNFRSF11B,TSC22D3,VCAM1,VEGFA,ZBTB16",209 (16)
fluocinolone acetonide,NA,chemical drug,Activated,2.309,4.09e-9,"ACKR4,FKBP5,ITGA10,KLF15,LSP1,MT1E,MT1X,MXRA5,PER3,RASL11B,RGCC,ZBTB16",NA
HRAS,NA,enzyme,NA,-1.34,4.47e-9,"ADARB1,ADRA2A,AFAP1L1,ATP2A2,CDKN2B,CDON,CEBPD,COL1A1,COL4A1,CXCL12,CYP24A1,DUSP1,ENPP1,FOXO1,FSTL3,GPX3,HMOX1,KLF5,KLF6,LRRC17,LSP1,MAP3K8,MFGE8,NEXN,NID1,PDLIM5,PLA2G4A,RHOB,SERPINA3,SORBS1,SOX4,TAGLN,TGFB2,THBS1,TRPC6,TSC22D1,TSLP,TYMP,UBASH3B,ULK2,VEGFA",232 (21)
EP300,NA,transcription regulator,NA,0.464,5.83e-9,"ADAM12,AXIN2,BDKRB2,BRCA1,CAMK4,CDC42EP3,CDKN2B,CFLAR,CORO2B,CRABP2,CRISPLD2,DNAJB4,DUSP1,EPHB2,EVI2A,FABP4,FOXO1,GRAMD3,HMOX1,LEP,MAP3K8,MMD,MMP7,NPAS2,NR4A1,PDK4,PLA2G4A,RGL1,SH3GL3,STOM,TGFB2,TGFBR2,ULK2,VEGFA",235 (18)
miR-642a-5p (miRNAs w/seed UCCCUCU),NA,mature microrna,NA,-0.472,6.22e-9,"ABAT,ACSL1,AFAP1L1,ARHGAP28,ARHGEF2,ASIC2,BDH1,BDKRB2,CAMK2A,CCR1,CFLAR,DAAM2,EBF1,EDA,ENDOD1,FAM105A,FAM20A,FAM46A,FIBIN,FKBP5,FNDC5,FZD5,GCH1,HMOX1,INHBE,JADE1,KALRN,KCNE3,KCNK15,KCNS1,KLF5,LRRC4,MYADM,NEDD9,NEGR1,NKD1,NR4A3,NUAK1,NYNRIN,PIEZO2,PLCXD3,PLPPR4,PRR5L,PTX3,RGL1,RGS6,RHOB,RND2,ROBO1,SEMA3A,SGCD,SIPA1L2,SLC7A6,SOWAHA,SPINT2,ST8SIA1,SULT1C2,TRNP1,TUBB,UBASH3B,WASF3",NA
TP53,NA,transcription regulator,NA,1.748,8.74e-9,"ABAT,ACTA2,ANXA4,APBB2,AQP3,ARHGEF2,ATF3,AXIN2,BDKRB2,BRCA1,CD82,CDC42EP3,CFLAR,CITED2,COL1A1,COL4A1,CXCL12,CYP24A1,CYR61,DBP,DUSP1,DUSP5,EGR2,EGR3,FABP4,FKBP5,FOXO1,FOXO3,FSTL3,GDF15,GLUL,GPX3,HMGB2,HMMR,HMOX1,IGDCC4,IL12A,IL4I1,ING2,LIF,LMO3,LOC102724788/PRODH,LRRC17,LSP1,MAP3K8,NAMPT,NFE2,NKD1,PDLIM5,PHGDH,PIK3R1,PIK3R3,PRDM1,PRKAG2,PRKCE,RAP2B,RHOB,RNF144B,ROBO1,RRAD,SAT1,SERPINA3,SLC6A6,SORBS1,TGFB2,TGFBR2,THBS1,TNFSF9,TSC22D3,TUBB,ULK2,VEGFA,WNT2",247 (21)
NKX2-3,NA,transcription regulator,NA,0.578,9.66e-9,"AIF1L,CBS/CBSL,CHST7,DANCR,FAM198B,FAM46A,FBN2,GALNT15,GCH1,GDF15,HMMR,MAMDC2,MCTP1,MMP7,MT1M,PHGDH,PKIA,PSAT1,SEMA3A,TMEM100,TRPC6,TYMP,VCAM1",NA
SP1,NA,transcription regulator,NA,0.154,1.01e-8,"ACSL1,ACSS1,ACTA2,ADAMTS1,ADCY4,ADRA1B,AFAP1L1,ALOX15B,ATF3,ATP2A2,CBS/CBSL,CDKN2B,CEBPD,CITED2,COL1A1,COL7A1,CRABP2,CXCL12,DNM1,EDA,GDF15,HMOX1,IL12A,KCNQ3,KLF6,MAOA,NCOA3,P2RX7,PLA2G4A,PRKCE,RASGRP2,SOCS1,SOX9,TAGLN,TGFB2,TGFBR2,TIMP4,TXNRD1,VEGFA",221 (23)
miR-4254 (and other miRNAs w/seed CCUGGAG),NA,mature microrna,Inhibited,-2.568,1.04e-8,"ACKR2,ACSL1,ADAT2,ADORA1,AFAP1L1,ATF3,BATF3,BDKRB2,C1QTNF1,CCDC69,CCDC71L,CIT,COL11A1,CPM,CYTH3,DAAM2,DIO2,DUSP5,EDA,EPHB2,EPHB3,GALNT15,GDNF,GPR63,GRIN2A,HAPLN3,ICOSLG/LOC102723996,IFI44L,INHBB,ITGA10,KALRN,KCNK15,KIAA1755,KLF6,KLHDC7B,LEP,LIMS2,LMCD1,LMOD1,MXRA5,N4BP3,NCOA3,NR4A1,PCYT2,PER1,PHC2,PIFO,PKDCC,PKIA,PPP1R1B,PPTC7,PXDC1,RAB11FIP1,RCOR2,RSPO1,SLC14A1,SOWAHA,SPINT2,STARD7,STOM,TMEM119,TSPAN32",NA
CREB1,NA,transcription regulator,NA,1.724,1.12e-8,"ATF3,CAMK4,CEBPD,CH25H,CYR61,DIO2,DKK2,DUSP1,EGR2,ERRFI1,FAM46A,FGFR2,GADD45B,GLS,GPR63,HMOX1,IRS2,KLF5,LEP,MARCKSL1,MCTP1,MEST,MTSS1,NFIL3,NR4A1,NR4A3,OMG,PER1,RAC3,ROBO1,RSPO2,SAT1,SCD,STC1,SYN2,TRPC6,VEGFA,YPEL4,ZDHHC23",238 (20)
phorbol myristate acetate,NA,chemical drug,NA,-0.112,1.2e-8,"ADAMTS1,ALOX15B,ATP2A2,CBS/CBSL,CD163,CDKN2B,CFLAR,CH25H,CIDEC,CYP24A1,CYR61,DBP,DUSP1,DUSP5,EGR2,EGR3,EPHA4,ERRFI1,FKBP5,FST,FSTL3,GDF15,GLS,GPC2,GRIN2A,ICOSLG/LOC102723996,IL12A,IL4I1,INHBB,KLF5,KLF6,LBH,LIF,METTL7A,MMP7,MT2A,MYOZ2,NEIL3,NFIL3,NR4A1,PDK4,PDPN,PER1,PHGDH,POU2F2,PRKCE,PRKG2,SERPINA3,SOCS1,STC1,THBS1,TJP2,TNFAIP6,TNFRSF11B,TRPC6,TSC22D3,TSLP,TYMP,VCAM1,VEGFA",245 (15)
Cg,NA,complex,NA,1.58,1.21e-8,"ACSL1,ACTA2,ADAMTS1,APCDD1,CAMK4,CEBPD,COL11A1,DUSP1,EPHB6,FABP4,FAM198B,FST,G0S2,INHBB,IRS2,LIF,NR4A1,PKIA,PPP1R14A,PRKG2,PTX3,ST8SIA1,STC1,STEAP1,TENM4,TGFB2,TIMP4,TM4SF1,TNFAIP6,VEGFA",281 (23)
CREM,NA,transcription regulator,NA,0.414,1.3e-8,"ANXA4,ATF3,ATP2A2,CAMK4,CH25H,DIO2,DUSP1,EGR2,ERRFI1,GADD45B,IRS2,KLF5,MEST,NFIL3,NR4A1,PER1,RHOB,THBS1,VEGFA",246 (20)
leukotriene D4,NA,chemical - endogenous mammalian,NA,1.458,1.31e-8,"ADAM12,ADAMTS1,ATF3,CYR61,DUSP1,EGR2,EGR3,MAP3K8,NEDD9,NR4A1,NR4A3,PDK4",192 (17)
AKT1,NA,kinase,NA,0.2,1.91e-8,"ACTA2,CEBPD,CFLAR,COL4A1,FOXO1,GCLM,GDF15,HMGB2,HMOX1,IRS2,KLF15,LEP,MT2A,NEXN,PIK3R1,PPP1R1B,RAMP3,RHOB,SCD,SEMA6D,SORT1,TGFB2,THBS1,VEGFA",207 (18)
arsenite,NA,chemical toxicant,NA,0.247,1.92e-8,"ADAM12,ALDH3A1,DUSP1,FST,GCLM,HMOX1,HSPA4L,INHBB,MAFF,NR4A1,SGCD,SLC38A2,TGFB2,THBS1,TXNRD1,VEGFA",230 (20)
tamoxifen,NA,chemical drug,NA,-0.534,1.96e-8,"ADORA1,ANG,BRCA1,C10orf10,CFLAR,COL11A1,CXCL12,CYR61,EPHA4,FABP4,G0S2,GDF15,LIF,MAFF,NNMT,RAMP3,SCD,SCN1B,SERPINA3,SLC7A5,SOX9,TAGLN,TGFBR2,TYMP,VEGFA",252 (20)
PI3K (complex),NA,complex,NA,-0.038,2.44e-8,"ADAM12,ATF3,CCR1,CDKN2B,CFLAR,COL1A1,DUSP1,FOXO1,GCLM,HMOX1,IFIT1,LEP,LSP1,MMP10,MT2A,PLB1,PPP1R1B,PRDM1,RHOB,SAMHD1,SEMA6D,SOX9,THBS1,TYMP,VCAM1,VEGFA",225 (21)
EGF,NA,growth factor,NA,0.808,3e-8,"ANPEP,AQP3,ARHGEF2,ATF3,ATP2A2,BRCA1,CDH4,CEBPD,CFLAR,COL1A1,CYR61,DIO2,DUSP1,DUSP5,EGR2,EGR3,ERRFI1,FST,GGT5,HMOX1,MMP10,NGF,NR4A1,NR4A3,PDK4,PDPN,PER1,PLXDC1,RHOB,SCD,SERPINA3,SOX4,TGFBR2,THBS1,VCAM1,VEGFA",217 (19)
forskolin,NA,chemical toxicant,NA,1.798,3.12e-8,"ACTA2,ADAMTS1,ALDH3A1,AQP3,ATF3,CDKN2B,CEBPD,CIDEC,CITED4,COL1A1,CRISPLD2,DIO2,DUSP1,EPHA5,FGFR2,FKBP5,FOXO1,FST,GADD45B,GPRC5B,HMOX1,INHBB,IRS2,LEP,MFGE8,NAMPT,NFIL3,NGF,NR4A1,NR4A3,PDK4,PER1,RHOB,SAT1,STARD7,STC1,THBS1,TM4SF1,TNFAIP6,TNFRSF11B,TUBA1A,TUBA4A,VEGFA",206 (17)
miR-9-5p (and other miRNAs w/seed CUUUGGU),NA,mature microrna,NA,-1.618,3.28e-8,"ABAT,ACVR1C,ADAMTS5,ANGPTL1,AOX1,ARHGEF2,C4orf46,CACNB2,CPA4,CREB5,CYTH3,DIO2,DOK6,EGR3,ENPP1,EPHB2,FAM105A,FAM46A,FAM46C,FAM63B,FBN2,FLRT3,FOXO1,FOXO3,FZD5,GCH1,GCLM,GDNF,GLS,GPRC5B,GRAMD4,HMMR,HPS5,IL12A,INHBB,KCTD12,KLF5,KLHL42,LEP,MEX3A,MMP15,MPP3,NCOA3,NID1,OSBPL3,PAIP2B,PDK4,PIFO,PIK3R3,PRDM1,PTX3,RAB11FIP4,RASD2,RHOJ,SEMA6D,SGCD,SLC14A1,SLC16A12,SLC19A3,SLC22A23,SLC5A6,SLC6A6,SMARCD2,SORT1,TENM4,TGFBR2,TMEM200A,UBASH3B,ULK2,USP53,VGLL3,ZHX3",NA
bucladesine,NA,chemical toxicant,NA,1.786,3.82e-8,"ADAMTS1,ADCY8,ALDH3A1,BDKRB2,CITED4,DIO2,DUSP1,EGR2,ENPP1,ERRFI1,FOXO1,FST,FSTL3,GADD45B,GDF15,GLUL,HMOX1,INHBB,IRS2,LEP,LIF,NGF,NR4A1,NR4A3,PDE5A,STC1,TGFB2",216 (21)
ESR1,-0.96,ligand-dependent nuclear receptor,NA,-1.919,3.89e-8,"AASS,ABLIM1,ADORA1,ANXA4,AP1M1,AQP3,ARHGEF2,ATF3,AXIN2,BRCA1,CDC42EP3,CDKN2B,CEBPD,CIT,CPM,CRABP2,CXCL12,DUSP10,DUSP5,FGFR2,FOXO1,FST,GADD45B,GPR37,HSPA2,ICOSLG/LOC102723996,IFI44L,IL12A,INHBB,IRS2,ITGA10,KCNK6,LEP,LMO3,MAP3K8,METTL7A,MMD,NCOA3,NEDD9,NOV,PDK4,PDLIM5,PLXDC1,PSAT1,PTX3,RAB11FIP4,RAMP3,RND1,ROBO1,SAMHD1,SCN1B,SLC38A2,SLC6A6,SLC7A5,SOX4,SOX9,STEAP1,SULT1C2,TGFB2,TJP2,TM4SF1,TNFAIP6,TNFRSF11B,TNFSF9,TSC22D3,VEGFA,WARS",292 (21)
Tgf beta,NA,group,NA,-0.253,4.08e-8,"ACKR2,ACTA2,ADAM12,ADH1C,CDKN2B,CFLAR,COL1A1,COL7A1,CYR61,EGR2,FST,GADD45B,HMOX1,INPP5D,LIF,MMP10,MMP7,NEDD9,TAGLN,TNFRSF11B,TSLP,VCAM1,VEGFA",232 (21)
paclitaxel,NA,chemical drug,NA,1.216,4.32e-8,"ACTA2,ALPK3,ARHGEF2,ASIC2,ATF3,CDC42EP3,DDAH1,DUSP10,DUSP5,FOXO3,G0S2,GADD45B,GDF15,GFPT2,IL12A,NAV3,PHC2,PHGDH,SAT1,SCN1B,STC1,TGFBR2,THBS1,TSC22D1,TUBA4A,TYMP",245 (18)
tretinoin,NA,chemical - endogenous mammalian,NA,0.25,4.72e-8,"ABLIM1,ACKR2,ACSL1,ADAMTS5,ALDH3A1,ANPEP,APCDD1,ARHGAP29,ATP2A2,BRCA1,CBS/CBSL,CCR1,CD82,CDKN2B,CITED2,COL1A1,COL4A1,CRABP2,CUBN,CYR61,DAAM2,DAPK2,DIO2,DMC1,DUSP1,ERRFI1,FABP4,FOXO3,FST,G0S2,GDF15,HMOX1,HSD17B6,HSPA2,IFI44L,IFIT1,KLF15,KLF5,KLF9,LRRC25,LSP1,MARCKSL1,METTL7A,MMP7,MT2A,NCOA3,NFE2,NOV,P2RX7,PPP1R1B,PTPN22,PTX3,RTKN2,SAMHD1,SCD,SLC38A2,SLC6A6,SOCS1,SOX4,SOX9,STC1,TGFB2,TGFBR2,THBS1,TNFAIP6,TNFRSF11B,TRPC6,TSC22D3,VCAM1,VEGFA,VGLL3,ZBTB16",273 (23)
CEBPA,NA,transcription regulator,Activated,2.486,5.44e-8,"ACSL1,ADH1B,ADH1C,ALOX5AP,ANPEP,APCDD1,CCR1,CEBPD,COL1A1,CRABP2,EGR2,FABP4,FOXO1,FOXO3,G0S2,GCH1,HMOX1,IRS2,KLF5,LEP,MT2A,NFIL3,PPP1R14A,PRDM1,PTX3,SCD,SPINT2,TGFB2,THBS1,TIMP4,TNFAIP6,TSC22D3",232 (18)
miR-3072 (and other miRNAs w/seed GCCCCCU),NA,mature microrna,NA,0.125,5.78e-8,"ADAM12,ADARB1,ADORA1,ADRA2A,AIF1L,AQP3,ARHGEF2,BATF3,C10orf10,C4orf46,CAMK2A,CD82,CHST7,COL11A1,COL4A3,COL4A4,COL7A1,CORO2B,CXCL12,CYTH3,DAAM2,DAPK2,EDA,EMID1,EPHB2,FAIM2,FAM105A,FAM196A,FRZB,FZD5,GADD45B,GCLM,GCNT4,GDF7,GPC2,GRAMD4,HMOX1,ICOSLG/LOC102723996,IGDCC4,IL34,INHBB,JADE1,KCNK15,KCNQ3,KIAA1755,KLF15,KLF6,LGI3,LRRC4,LRRTM2,MEX3A,MMP15,NYNRIN,PCYT2,PDPN,PER1,PIEZO2,PIK3R3,PLXDC1,POU2F2,PPTC7,RASL11B,RND1,RSPO1,SAMD12,SCN1B,SEMA3A,SLC6A6,SPTBN4,TENM4,TMEM37,TNFSF15,TNFSF9,TPPP,TRNP1,TSPAN11,VEGFA,YIF1B",NA
PGR,NA,ligand-dependent nuclear receptor,Activated,3.18,5.97e-8,"ACSL1,ADAMTS1,ADARB1,CCL8,CEBPD,DNAJB4,ENC1,FKBP5,FOXO1,GLS,GLUL,HBA1/HBA2,HSPA2,IRS2,KLF5,KLF9,MTSS1,NEDD9,PRKG2,RASGRP2,SLC7A5,STC1,STEAP1,TM4SF1,TSC22D3",275 (20)
miR-21-5p (and other miRNAs w/seed AGCUUAU),NA,mature microrna,NA,-1.013,6.19e-8,"ACKR4,ACTA2,ACVR1C,AIF1L,APBB2,C7,CENPP,CLIC2,COL4A1,CREB5,CSRNP3,DKK2,EGR3,EPHA4,FAM46A,FAM63B,FGD4,FKBP5,FOXO1,GRAMD3,IL12A,KLF5,KLF6,KLHL42,NEGR1,NEK11,PAIP2B,PDLIM5,PDZD2,PIK3R1,PRKCE,PRR5L,RHOB,RTKN2,SLC7A6,TAGLN,TENM4,TGFB2,TGFBR2,TNFRSF11B,USP53",NA
Ca2+,NA,chemical - endogenous mammalian,NA,-0.052,7.08e-8,"ACTA2,ATF3,ATP2A2,CEBPD,COL1A1,CYR61,DBP,DUSP1,ENPP1,FABP4,FGFR2,GLS,ICOSLG/LOC102723996,IRS2,NR4A1,NR4A3,PER1,STC1,TAGLN,TNFSF9,TRPC6,TRPV6,TSLP,VEGFA",254 (22)
KRAS,NA,enzyme,NA,-0.297,7.26e-8,"AMPH,ANPEP,AOX1,AXIN2,BDH1,COL1A1,COL4A1,DDAH1,DUSP5,GCLM,GLUL,HMOX1,IFIT1,LBH,MMD,MMP10,MMP7,NKD1,PDPN,PHC2,RHOB,SERPINA3,SORT1,SOX9,STOM,TGFBR2,THBS1,TNFRSF11B,VEGFA",245 (19)
JUN,-0.912,transcription regulator,NA,-0.066,8.89e-8,"ATF3,BRCA1,CCL8,CFLAR,COL1A1,CYR61,DIO2,DUSP1,DUSP5,FABP4,FRZB,GDNF,HMOX1,IRS2,LIF,MMP10,MMP7,MT2A,NGF,NOV,NR4A1,PLA2G4A,PRKCE,PTX3,RHOB,SCD,SLC38A2,SLC6A6,THBS1,TNFSF15,VCAM1,VEGFA",246 (22)
RBPJ,-0.634,transcription regulator,NA,0.336,1.14e-7,"CXCL12,DUSP1,EPHA4,GDF5,GDNF,GLS,HMMR,IL12A,INHBB,LFNG,LIF,NGF,PRDM1,SOX4,SOX9,TGFB2,VEGFA",178 (11)
cocaine,NA,chemical drug,NA,1.347,1.2e-7,"CAMK2A,DUSP1,DUSP5,EGR2,FOXO1,FOXO3,GADD45B,IFIT1,IRS2,KLF5,MEST,NR4A1,NR4A3,PER1,PPP1R1B,THBS1,TUBB,UBASH3B,VEGFA",224 (19)
FSH,NA,complex,NA,0.037,1.21e-7,"ACTA2,ADAMTS1,AQP3,ATP2A2,AXIN2,CAMK4,CFLAR,CH25H,DUSP1,ENC1,FKBP5,FOXO1,FST,GPRC5B,GRIN2A,ING2,INHBB,LYPD3,MT1X,MT2A,NR4A1,PPP1CB,RHOB,TGFB2,TGFBR2,THBS1,TNFAIP6,TNFRSF11B,TUBA1A,VEGFA",309 (25)
miR-182-5p (and other miRNAs w/seed UUGGCAA),NA,mature microrna,Inhibited,-2.701,1.47e-7,"AASS,ABLIM1,ADAT2,ANGPTL1,ARHGAP29,ARHGEF2,CACNB2,CDH4,CENPP,CITED2,COL4A4,CSRNP3,DDAH1,DKK2,EBF1,EGR3,FAM107A,FAM43A,FGD4,FOXO1,FOXO3,FST,FZD5,GCNT4,GDNF,GPR68,GXYLT2,KLF15,LMOD1,LRRC4,MMD,MOB3B,MORF4L2,MTSS1,MYADM,NAMPT,NID1,NR4A3,NUAK1,NYNRIN,PDK4,PDPN,PDZD2,PIK3R1,PKD1L2,PLPPR4,PRDM1,PRKCE,RAPGEF5,RGL1,RHOJ,RWDD4,SAMD12,SAMD4A,SLC22A23,SLC6A6,SLC6A9,SLC7A14,SLC7A6,SMTNL2,SORT1,SOWAHA,SSH2,ST8SIA1,STEAP2,STUM,TENM4,THBS1,TJP2,TMEM47,TNFSF15,UBASH3B,VGLL3,ZHX3",NA
miR-202-3p (and other miRNAs w/seed GAGGUAU),NA,mature microrna,NA,-0.639,1.53e-7,"ACVR1C,ADAMTS1,ADAMTS14,ADAMTS5,ARHGAP28,ARHGEF28,ARMC8,ATP2A2,BEGAIN,CCDC71L,CEBPD,CHSY3,COL11A1,COL4A1,CPA4,CSRNP3,CYTH3,DUSP1,EOGT,EPHA4,FAM43A,FGD4,GCNT4,GPX3,GRAMD3,HIF3A,HMMR,IGDCC4,IL12A,INPP5A,IRS2,LBH,MEST,MEX3A,MMD,NEGR1,NGF,NYNRIN,PIFO,POU2F2,PPTC7,PRDM1,RGS6,SCD,SLC22A23,SLC7A14,SPTBN4,STEAP2,THBS1,TMEM26,TMEM35A,TNFSF9,VASH2,VCAM1,VGLL3",NA
miR-4270 (and other miRNAs w/seed CAGGGAG),NA,mature microrna,NA,-0.946,1.53e-7,"ABAT,ACSL1,ADAMTS14,ADARB1,ADORA1,AGTRAP,AIF1L,ARHGEF28,ASIC2,BRCA1,CCDC69,CD82,CDON,CES3,CFLAR,CHST7,CRISPLD2,CXCL12,DIO2,DMC1,DOK6,EGR2,FAIM2,FAM107A,FAM20A,FBN2,FER1L6,FSTL3,GPX3,HIGD1A,IRS2,KCNK15,KCNQ3,KIAA1755,KLF6,KLF9,LBH,LEP,LSP1,MFGE8,MMP15,MPP3,MTSS1,NEXN,NYNRIN,OMG,PKNOX2,RAP2B,SAMD12,SCN1B,SIGLEC15,SLC22A23,SLC6A6,SLC7A5,SORT1,SSH2,STEAP4,SULT1C2,SYN2,SYNPO2,TAGLN,TMEM26,TRNP1,TSLP,VEGFA,ZCCHC5",NA
EGR1,NA,transcription regulator,NA,-1.313,1.58e-7,"ACTA2,ALOX5AP,ATF3,ATP2A2,CCR1,COL1A1,EGR2,GADD45B,GDF15,GDNF,HMOX1,NR4A1,PNPLA2,RRAD,SOCS1,TGFBR2,THBS1,VCAM1,VEGFA",259 (21)
2-amino-5-phosphonovaleric acid,NA,chemical - other,NA,-1.698,1.73e-7,"ADAMTS1,DKK2,DUSP1,EGR2,EGR3,FAM105A,FOXO1,GADD45B,ICOSLG/LOC102723996,KCNK6,LBH,LHFPL2,NR4A1,NR4A3,RASL11A,RPS6KA5,TMEM200A",111 (5)
miR-218-5p (and other miRNAs w/seed UGUGCUU),NA,mature microrna,NA,-0.836,1.75e-7,"ACSL1,ADARB1,AIF1L,ARMC8,BRCA1,CARMIL1,COL1A1,CYR61,DKK2,DOK6,DUSP5,EBF1,EDA,EPHA5,ERRFI1,FAM196A,FAM198B,FAM63B,FBN2,FGD4,FLRT3,FNDC5,FRK,GALNT15,GRAMD4,INHBB,JADE1,KALRN,KCNK15,KCNQ3,KLF9,LGR4,LMO3,LRRN1,MYO16,NAV3,NPAS2,NRXN3,PIEZO2,PIK3R1,PLCXD3,PLPPR4,POU2F2,PPP1CB,PRG4,PRKCE,ROBO1,SAMD12,SGCD,SLC22A23,SLC6A6,SLC7A5,SORBS1,SORL1,ST8SIA1,SYN2,TGFB2,TJP2,TNIK,TRPC6,VASH2,VGLL3,WASF3,ZCCHC6,ZDHHC23",NA
HTT,NA,transcription regulator,NA,1.956,1.84e-7,"ACTA2,ADAMTS5,ATF3,ATP2A2,CAMK2A,CAMK4,CIT,CITED2,COL4A1,CORO2B,DBP,DIO2,DNM1,DUSP5,EBF1,EGR2,FOXO3,GLUL,GPX3,GRIN2A,HAPLN3,HBA1/HBA2,HMGB2,KLF5,KLF9,MMP10,NFIL3,NR4A1,P2RX7,PER1,PPP1R1B,PTPN22,RASD2,RASGRP2,RPS6KA5,SERPINA3,SORT1,SYN2,TAGLN,TM4SF1,TUBA4A,TUBB,VCAM1",239 (20)
P38 MAPK,NA,group,NA,0.329,1.88e-7,"ATF3,CCL8,CD82,CEBPD,CFLAR,CXCL12,DIO2,DUSP1,EGR2,FABP4,FST,HMOX1,IL12A,KLF15,KLF5,LEP,NGF,NR4A1,NR4A3,PLA2G4A,RHOB,RRAD,SEPT4,THBS1,TJP2,TSLP,VCAM1,VEGFA",228 (19)
troglitazone,NA,chemical drug,NA,0.94,2.18e-7,"ACSL1,ACTA2,AQP3,ATF3,AXIN2,CEBPD,CFLAR,CIDEC,COL1A1,COL4A1,FABP4,G0S2,GDF15,HBA1/HBA2,HMMR,HMOX1,LEP,LOC102724788/PRODH,NEIL3,NNMT,NR4A1,NR4A3,PDK4,SCD,SLC39A10,SORBS1,TST,VCAM1,VEGFA",253 (23)
miR-17-5p (and other miRNAs w/seed AAAGUGC),NA,mature microrna,NA,-1.107,2.21e-7,"ABCA10,ABHD5,ADAMTS5,ADARB1,ADAT2,ADRA1B,APBB2,APCDD1,ARHGEF28,B3GALT2,CCDC71L,CIT,CITED4,COL4A1,COL4A3,CORO2B,CREB5,CSRNP3,DAPK2,DOK6,EGR2,EGR3,EPHA4,EPHA5,FAIM2,FAM46C,FGD4,FIBIN,FKBP5,FRZB,HPS5,HSPA6,LIF,LMO3,MAP3K8,MYOZ2,NCKAP5,NCOA3,NEDD4L,NPAS2,NR4A3,PDLIM5,PIK3R1,PKIA,PLCXD3,RAB11FIP1,RAB11FIP4,RAPGEF5,RASL11B,RGL1,RPS6KA5,S1PR1,SAMD12,SLC22A23,SLC6A9,SORL1,SOX4,SSH2,STC1,STOM,TGFBR2,TMEM100,TPPP,TRPV6,UBASH3B,USP53,VASH2,VEGFA,WASF3,YPEL4",NA
IL13,NA,cytokine,NA,-0.738,2.3e-7,"ACSL1,ADORA1,ALOX5AP,ATF3,CD163,COL1A1,DUSP10,FABP4,G0S2,GPX3,HMOX1,IL12A,KLF6,MAOA,MMP10,MT1X,MTSS1,NFE2,NID1,PLA2G4A,SOCS1,SORT1,SPINT2,THBS1,TIMP4,TNFRSF11B,TNFSF13B,TSLP,VCAM1",220 (18)
